scenario,scenario_label,scenario_description,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,slot_cost,probe_cost,utility_mean,total_probe_calls_mean,feedback_noise_std,probe_budget,budget_fraction,policy,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,probe_calls_per_slot_mean,oracle_match_rate,oracle_tx_gap_mean,observed_score_mean,observed_tx_fraction_mean,avg_reward
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,38.4412,0.0,0.0,0,0.0,No IRS,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,5.0,0.0,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,7.920439999999999,0.0,0.0,11.897444811911848
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,40.4552,0.0,0.0,0,0.0,Fixed IRS,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,5.0,0.0,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,1.3280000000000003,6.977,0.0,0.0,36.81022026685988
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.818180000000005,0.0,0.0,0,0.0,Random IRS,5000,5,49.2638,0.027288381117245353,0.985276,51.62,4.4562,0.021249509735520762,0.42864515164334355,16.157660727022822,0.04268621885058913,0.0,7.347666666666666,2.1246099999999997,0.0,0.0,96.62850809486804
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.540352,40.3776,0.0,16,1.0,Oracle Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5236,0.0070831699118404255,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,0.0,0.0,99.12804359239937
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.373568000000006,44.0384,0.0,16,1.0,Full Noisy Feedback,5000,5,49.869,0.007307409937864407,0.99738,87.6,2.7524,0.020580933312170174,0.3539136000260074,15.88529016524352,0.057836877082611,16.0,89.35333333333334,0.07307333333333334,0.336744405488579,0.3532733708333334,98.84156034102627
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.802745,4.431,0.0,1,0.0625,Random Feedback Probe,5000,5,49.268,0.025457374570053436,0.98536,51.72,4.431,0.019901481351899293,0.4294915055947449,16.175963737201062,0.05313162390375613,1.0,7.614999999999999,2.1091433333333334,0.2177803548050255,0.235042,96.6577222260726
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.096023,4.3274,0.0,1,0.0625,Rotating Feedback Probe,5000,5,49.5504,0.012482599729222322,0.9910080000000001,64.66,4.3274,0.0106383051281678,0.4381513981261921,16.35461148640474,0.02217077136121473,1.0,7.570666666666666,1.8878666666666668,0.22277087277785276,0.2420016,97.5409516596764
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.043718,4.9684,0.0,1,0.0625,UCB Feedback Probe,5000,5,47.5654,0.037201811998881264,0.9513079999999999,11.82,4.9684,0.005207849460189933,0.39377188865578105,15.307920042358761,0.05772185725050034,1.0,3.578,4.754389999999999,0.18215990501223192,0.1919616,89.7490146462392
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.758859,4.9042,0.0,1,0.0625,Thompson Feedback Probe,5000,5,48.2738,0.011485666894002499,0.965476,21.7,4.9042,0.00589305218032223,0.40851174099378557,15.666932847773325,0.019650034137128736,1.0,4.337000000000001,4.041183333333334,0.18664409195720796,0.19846519999999995,92.96850115647071
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.057126,8.1868,0.0,2,0.125,Random Feedback Probe,5000,5,49.5074,0.024982120326346332,0.9901479999999999,60.56,4.0934,0.053139500336378785,0.3911219846438371,16.061302029323457,0.037884040513451796,2.0,14.368333333333332,1.4068033333333332,0.2332996274244607,0.2498092,97.64832679630031
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.258046,7.9228,0.0,2,0.125,Rotating Feedback Probe,5000,5,49.6938,0.007473744978254855,0.9938760000000001,72.38,3.9614,0.032683257120427835,0.3930784052634784,16.13070646958355,0.04784997306030054,2.0,15.879666666666667,1.3006833333333332,0.24142874049033436,0.2597215666666667,98.17096532661486
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.854397999999996,9.3164,0.0,2,0.125,UCB Feedback Probe,5000,5,49.3668,0.017849994509803773,0.987336,51.64,4.6582,0.022818642904432276,0.40053713811016434,16.015716617339216,0.059118799831594356,2.0,9.247000000000002,2.01655,0.1899790784289418,0.20271299999999998,97.18727088032064
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.711354,9.1172,0.0,2,0.125,Thompson Feedback Probe,5000,5,49.2128,0.023531430555747863,0.984256,45.1,4.5586,0.01845525009313062,0.3991748714532522,15.95114248901417,0.027495619281883637,2.0,9.107666666666667,1.8650099999999998,0.1950931062133744,0.20710336666666668,96.6759993538453
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.256416,14.6128,0.0,4,0.25,Random Feedback Probe,5000,5,49.6948,0.013051304302637392,0.993896,73.1,3.6532,0.024655522383433645,0.3729311156015802,15.977515873487805,0.05208893520860361,4.0,25.734666666666662,0.89361,0.2621484449679582,0.2783402833333333,98.26888479518854
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.38292800000001,13.8224,0.0,4,0.25,Rotating Feedback Probe,5000,5,49.7976,0.0063390169584876,0.9959520000000001,81.0,3.4556,0.012202475814358441,0.3703226840058707,16.02541746933812,0.040000640552030134,4.0,30.917999999999996,0.8089333333333333,0.2752383522096998,0.2927771333333334,98.55432346507722
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.26082400000001,16.0592,0.0,4,0.25,UCB Feedback Probe,5000,5,49.7426,0.019742561535929442,0.9948520000000001,76.52,4.0148,0.031153520250527127,0.3745758653863086,15.999883298960677,0.05209993284917129,4.0,21.58,1.0334866666666667,0.23016973403032115,0.24438978333333333,98.34760680051448
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.113664,15.9912,0.0,4,0.25,Thompson Feedback Probe,5000,5,49.5934,0.019269900259213525,0.9918680000000001,65.66,3.9978,0.033425902291486606,0.3771053591604078,15.958148375323589,0.05098103124248884,4.0,19.95066666666667,1.0284833333333332,0.23279114761215838,0.24637026666666667,97.95490310908912
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,38.4412,0.0,0.1,0,0.0,No IRS,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,5.0,0.0,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,7.920439999999999,0.0,0.0,11.897444811911848
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,40.4552,0.0,0.1,0,0.0,Fixed IRS,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,5.0,0.0,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,1.3280000000000003,6.977,0.0,0.0,36.81022026685988
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.80778,0.0,0.1,0,0.0,Random IRS,5000,5,49.2524,0.024304000000000197,0.985048,51.2,4.4462,0.020829553619797152,0.43136337266624125,16.174503710170182,0.03628758829780123,0.0,7.520999999999998,2.1221200000000002,0.0,0.0,96.5925756306021
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.540352,40.3776,0.1,16,1.0,Oracle Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5236,0.0070831699118404255,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,0.0,0.0,99.12804359239937
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.756232,66.3616,0.1,16,1.0,Full Noisy Feedback,5000,5,49.5028,0.012448700494430264,0.990056,60.980000000000004,4.1476,0.022735999999999913,0.41538245734775836,16.003144745700638,0.03917973291496054,16.0,14.273333333333332,1.3988866666666666,0.2473931979197843,0.26387454550817296,97.56296583499939
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.798101,4.4638,0.1,1,0.0625,Random Feedback Probe,5000,5,49.2668,0.016842320030209128,0.9853360000000001,51.580000000000005,4.4638,0.015611249277363983,0.4316603787467381,16.196590644871048,0.032864413043185534,1.0,7.253333333333332,2.109183333333333,0.2317454668860485,0.24909686766850456,96.65582299250124
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.096023,4.3274,0.1,1,0.0625,Rotating Feedback Probe,5000,5,49.5504,0.012482599729222322,0.9910080000000001,64.66,4.3274,0.0106383051281678,0.4381513981261921,16.35461148640474,0.02217077136121473,1.0,7.570666666666666,1.8878666666666668,0.2382147563052219,0.2574454835310758,97.5409516596764
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,46.254617999999994,4.9884,0.1,1,0.0625,UCB Feedback Probe,5000,5,46.7784,0.06305171033366343,0.935568,6.3,4.9884,0.004824945181035674,0.38053929843676476,14.88628776138894,0.035862484081386044,1.0,2.8689999999999998,5.38503,0.20385693123305865,0.2121208898984357,85.31066844477782
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.518601000000004,4.9238,0.1,1,0.0625,Thompson Feedback Probe,5000,5,48.0356,0.025507124024476156,0.960712,18.44,4.9238,0.007499401576125757,0.40406510643463756,15.524843527550873,0.038198516404049386,1.0,3.960666666666667,4.18383,0.20820553798906977,0.21947657578217022,91.77526720738082
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.796628000000005,8.7704,0.1,2,0.125,Random Feedback Probe,5000,5,49.279,0.02680259688910842,0.9855800000000001,50.480000000000004,4.3852,0.030258997736210717,0.4157101804916869,16.092872805258896,0.03183419451944721,2.0,9.528666666666666,1.87905,0.23690636935696857,0.2538094705049056,96.79063189482588
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.054754,8.5972,0.1,2,0.125,Rotating Feedback Probe,5000,5,49.5276,0.015202324032857099,0.990552,61.46,4.2986,0.023475858578548427,0.42171630759816936,16.22267987771301,0.04026892741270447,2.0,9.569999999999999,1.6984066666666668,0.2394280746807864,0.25822228121844026,97.57130078021025
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.063298,9.6964,0.1,2,0.125,UCB Feedback Probe,5000,5,48.5966,0.02480464988666489,0.971932,27.62,4.8482,0.01401639839616431,0.406583178577916,15.731347338903582,0.06576961901807217,2.0,5.8196666666666665,2.85914,0.20849218573050649,0.22067620350076214,94.34803741972914
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.095956,9.5208,0.1,2,0.125,Thompson Feedback Probe,5000,5,48.6196,0.03039327451920977,0.9723919999999999,29.28,4.7604,0.009967134793911377,0.40733834038227534,15.779098689637319,0.05987035366357503,2.0,5.825666666666666,2.6474066666666665,0.21269593195243006,0.22531232089594888,94.403286249089
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.875656000000006,17.1048,0.1,4,0.25,Random Feedback Probe,5000,5,49.3888,0.010229622866949208,0.9877760000000001,55.92,4.2762,0.019584313722977222,0.41936205336661253,16.12193883794568,0.05901822575940002,4.0,10.672999999999998,1.6455966666666668,0.24074281623955632,0.2574383136338387,97.16331068324111
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.004328,16.6824,0.1,4,0.25,Rotating Feedback Probe,5000,5,49.5048,0.024507054984229414,0.9900960000000001,61.63999999999999,4.1706,0.017948720734358724,0.4202941307415613,16.21059637423242,0.0286911445088127,4.0,11.954333333333334,1.5377333333333334,0.2453469896058617,0.2633138414160603,97.51643852937265
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.737536,18.0288,0.1,4,0.25,UCB Feedback Probe,5000,5,49.2784,0.02875661343065202,0.985568,50.54,4.5072,0.024475683933242717,0.416694195787211,16.064000247066577,0.0296598189767719,4.0,9.163999999999998,1.9112200000000001,0.2263033451385174,0.2410305755763307,96.81822390019751
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.562648,18.0184,0.1,4,0.25,Thompson Feedback Probe,5000,5,49.1032,0.015072897000908298,0.982064,43.88,4.5046,0.0226343936521393,0.41423595382684125,16.03493423808377,0.04498123868281708,4.0,8.342666666666666,1.9219133333333331,0.22677700726510103,0.24081904075123894,96.22490216999687
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,38.4412,0.0,0.2,0,0.0,No IRS,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,5.0,0.0,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,7.920439999999999,0.0,0.0,11.897444811911848
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,40.4552,0.0,0.2,0,0.0,Fixed IRS,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,5.0,0.0,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,1.3280000000000003,6.977,0.0,0.0,36.81022026685988
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.8227,0.0,0.2,0,0.0,Random IRS,5000,5,49.268,0.005646705234026512,0.98536,51.9,4.453,0.023900751452621806,0.4321415789555047,16.159056226264166,0.03281639805997629,0.0,7.221666666666668,2.12336,0.0,0.0,96.63483943652506
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.540352,40.3776,0.2,16,1.0,Oracle Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5236,0.0070831699118404255,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,0.0,0.0,99.12804359239937
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.612324,69.4112,0.2,16,1.0,Full Noisy Feedback,5000,5,49.3932,0.01633281065830427,0.987864,56.279999999999994,4.3382,0.015611249277363999,0.42172477741496733,15.44518225206164,0.039578808913307846,16.0,9.471666666666666,1.8855466666666667,0.2591208278286924,0.275964871183194,97.14205240072377
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.788057,4.4566,0.2,1,0.0625,Random Feedback Probe,5000,5,49.256,0.025817002149747196,0.98512,51.019999999999996,4.4566,0.008189892306984234,0.4303390613123842,16.16924908930796,0.07275421512287719,1.0,7.320666666666666,2.1230966666666666,0.25623699707992603,0.2735533134285056,96.60746241923674
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.096023,4.3274,0.2,1,0.0625,Rotating Feedback Probe,5000,5,49.5504,0.012482599729222322,0.9910080000000001,64.66,4.3274,0.0106383051281678,0.4381513981261921,16.35461148640474,0.02217077136121473,1.0,7.570666666666666,1.8878666666666668,0.2599945947908472,0.2792253220124332,97.5409516596764
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,45.35264,4.992,0.2,1,0.0625,UCB Feedback Probe,5000,5,45.8768,0.09634232415714318,0.917536,4.66,4.992,0.0018594192641789855,0.3686882304918341,14.500200605167807,0.052918729245787215,1.0,2.6270000000000007,5.6668400000000005,0.22889881100563125,0.23629516367384895,78.0095419643899
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.354294,4.9172,0.2,1,0.0625,Thompson Feedback Probe,5000,5,47.8706,0.06949741013879689,0.957412,18.08,4.9172,0.004613292100008463,0.40054785934684195,15.472652801111568,0.01758123141334271,1.0,4.060666666666667,4.221406666666667,0.23382492147035874,0.2447197511150559,90.83621273557063
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.720302000000004,8.9036,0.2,2,0.125,Random Feedback Probe,5000,5,49.21,0.026478141928767712,0.9842,47.88,4.4518,0.02598312498526683,0.41992346068387926,16.063763387847963,0.051114566475961305,2.0,8.199333333333334,2.029663333333333,0.25531025372830046,0.272475016453247,96.54558827702054
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.028020000000005,8.676,0.2,2,0.125,Rotating Feedback Probe,5000,5,49.5052,0.020653601719796362,0.9901040000000001,61.3,4.338,0.02273093046929668,0.42159139346399804,16.18853705886318,0.05669535109054099,2.0,9.214333333333332,1.8082033333333334,0.2603069206833737,0.27920867032387514,97.46742651648574
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.50634,9.772,0.2,2,0.125,UCB Feedback Probe,5000,5,48.0438,0.03393348175475132,0.960876,20.02,4.886,0.008199268260033912,0.3990265692067703,15.477013428002707,0.04792600349355759,2.0,4.876666666666667,3.318283333333333,0.232903278810161,0.24446757894750873,91.6728149360438
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,47.756502,9.5836,0.2,2,0.125,Thompson Feedback Probe,5000,5,48.2836,0.028896542630564098,0.965672,24.22,4.7918,0.020457367963645747,0.40320498277128425,15.611276098839957,0.021248470605094837,2.0,5.700333333333333,3.0546333333333338,0.23855721276503256,0.25096873120639857,92.73208110932326
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.778664,17.5512,0.2,4,0.25,Random Feedback Probe,5000,5,49.3052,0.026941267676187753,0.986104,52.900000000000006,4.3878,0.023629179926522956,0.42308275134849266,16.036872710408513,0.06350535852961212,4.0,8.720666666666666,1.89809,0.2581356364511996,0.27501256182114336,96.82899710807074
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.941904,17.0632,0.2,4,0.25,Rotating Feedback Probe,5000,5,49.4538,0.02695552307042154,0.9890760000000001,59.08,4.2658,0.01617920344145547,0.42540994906503077,16.090183133994593,0.033096596814305754,4.0,9.937333333333335,1.7352333333333336,0.2630412843341483,0.28117674094018286,97.32431172715651
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.427848000000004,18.4784,0.2,4,0.25,UCB Feedback Probe,5000,5,48.9822,0.014659437369832383,0.979644,40.08,4.6196,0.011115118352946008,0.41697161467525756,15.856854824877004,0.040653284318409484,4.0,7.632666666666667,2.2863566666666664,0.24598457258250164,0.2603384766388959,95.7147326677134
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.311192,18.5136,0.2,4,0.25,Thompson Feedback Probe,5000,5,48.8666,0.027028108627870473,0.977332,36.36,4.6284,0.010195768534053646,0.4156563959562343,15.809479445661824,0.037013860106197234,4.0,7.099666666666667,2.29924,0.2451096912335798,0.2590750393630563,95.32464846133006
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,38.4412,0.0,0.3,0,0.0,No IRS,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,5.0,0.0,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,7.920439999999999,0.0,0.0,11.897444811911848
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,40.4552,0.0,0.3,0,0.0,Fixed IRS,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,5.0,0.0,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,1.3280000000000003,6.977,0.0,0.0,36.81022026685988
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.80006,0.0,0.3,0,0.0,Random IRS,5000,5,49.2458,0.01816995057780749,0.984916,50.339999999999996,4.4574,0.02011842379511862,0.43018779493448117,16.16118941071185,0.05724738819169801,0.0,7.261999999999999,2.118263333333333,0.0,0.0,96.58712545955558
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.540352,40.3776,0.3,16,1.0,Oracle Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5236,0.0070831699118404255,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,0.0,0.0,99.12804359239937
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.52178,70.704,0.3,16,1.0,Full Noisy Feedback,5000,5,49.3172,0.012828645446811998,0.986344,52.559999999999995,4.419,0.015741130836124884,0.4222412885310963,15.139379635021518,0.02682927277196919,16.0,8.521333333333333,2.0670266666666666,0.27904092239894546,0.29606519902645057,96.87823509661004
