label,short_label,role,policy,feedback_noise_std,scenario_count,episodes_per_scenario,num_seeds,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,failed_plus_missed_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate,slots_delta_vs_b3,failed_delta_vs_b3,missed_delta_vs_b3,gap_delta_vs_b3,slots_delta_vs_direct,failed_delta_vs_direct,missed_delta_vs_direct,gap_delta_vs_direct
Coverage-Aware B=3,B3,uncorrected baseline,Coverage-Aware B=3 sm=4.1,0.0,9,900,3,49.99925925925926,99.92592592592592,3.1888888888888887,0.5458024691358024,0.864320987654321,1.4101234567901235,50.863580246913585,16.0,0.4317935528120713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045679012345676,0.21246913580246912,0.5309876543209877,0.13993425436018025
Direct Mask Correction mc=1,Direct,reliable-feedback main method,Mask-Corrected Coverage-Aware B=3 mc=1,0.0,9,900,3,49.9995061728395,99.95061728395062,2.684320987654321,0.3333333333333333,0.3333333333333333,0.6666666666666666,50.332839506172846,16.0,0.29185929845189107,0.25055501665686847,0.06441309033901627,0.18614192631785226,0.26416990005878893,-0.5045679012345676,-0.21246913580246912,-0.5309876543209877,-0.13993425436018025,0.0,0.0,0.0,0.0
Clipped Mask Correction mc=1 clip=2,Clip2,high-noise robustness variant,Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.0,9,900,3,49.9995061728395,99.95061728395062,2.6939506172839507,0.3332098765432099,0.34555555555555556,0.6787654320987655,50.34506172839506,16.0,0.2957955124436606,0.2417688614540466,0.06418763472467176,0.17758122672937487,0.26330364491475605,-0.494938271604938,-0.21259259259259256,-0.5187654320987654,-0.13599804036841073,0.009629629629629655,-0.0001234567901234329,0.012222222222222245,0.003936213991769522
Coverage-Aware B=3,B3,uncorrected baseline,Coverage-Aware B=3 sm=4.1,0.02,9,900,3,49.99938271604938,99.93827160493828,3.411604938271605,0.8808641975308641,0.8565432098765432,1.7374074074074073,50.85592592592592,16.0,0.5777978150107779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364197530864197,-0.7322222222222222,0.37925925925925924,0.07505643738977064
Direct Mask Correction mc=1,Direct,reliable-feedback main method,Mask-Corrected Coverage-Aware B=3 mc=1,0.02,9,900,3,49.99962962962963,99.96296296296298,3.0751851851851852,1.6130864197530863,0.47728395061728396,2.0903703703703704,50.476913580246915,16.0,0.5027413776210072,0.5371896433470508,0.11707441700960218,0.4201152263374486,0.5138559180873996,-0.3364197530864197,0.7322222222222222,-0.37925925925925924,-0.07505643738977064,0.0,0.0,0.0,0.0
Clipped Mask Correction mc=1 clip=2,Clip2,high-noise robustness variant,Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.02,9,900,3,49.99962962962963,99.96296296296298,3.0860493827160496,1.588888888888889,0.49518518518518523,2.084074074074074,50.494814814814816,16.0,0.5079734469919654,0.5173079561042524,0.11544875563394082,0.4018592004703116,0.5124342543601803,-0.3255555555555554,0.7080246913580249,-0.36135802469135797,-0.06982436801881242,0.010864197530864317,-0.024197530864197292,0.01790123456790127,0.0052320693709582144
Coverage-Aware B=3,B3,uncorrected baseline,Coverage-Aware B=3 sm=4.1,0.05,9,900,3,49.99925925925926,99.92592592592592,3.6128395061728398,1.2062962962962964,0.8982716049382715,2.104567901234568,50.897530864197535,16.0,0.7527252596511855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290493827160494,-2.2280246913580246,0.4160493827160493,0.08494571820497743
Direct Mask Correction mc=1,Direct,reliable-feedback main method,Mask-Corrected Coverage-Aware B=3 mc=1,0.05,9,900,3,49.99975308641976,99.97530864197532,3.322345679012346,3.434320987654321,0.4822222222222222,3.916543209876543,50.48197530864198,16.0,0.6677795414462081,1.012808739956888,0.12171482461297277,0.8910939153439154,0.5955963158926122,-0.290493827160494,2.2280246913580246,-0.4160493827160493,-0.08494571820497743,0.0,0.0,0.0,0.0
Clipped Mask Correction mc=1 clip=2,Clip2,high-noise robustness variant,Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.05,9,900,3,49.99975308641976,99.97530864197532,3.3369135802469136,2.768641975308642,0.4939506172839507,3.2625925925925925,50.4937037037037,16.0,0.6702366255144033,0.7726011169900059,0.11584161277679796,0.6567595042132078,0.5938025181265922,-0.27592592592592613,1.5623456790123456,-0.40432098765432084,-0.0824886341367822,0.01456790123456786,-0.665679012345679,0.011728395061728458,0.0024570840681952255
Coverage-Aware B=3,B3,uncorrected baseline,Coverage-Aware B=3 sm=4.1,0.1,9,900,3,49.9995061728395,99.95061728395062,3.6608641975308647,1.316543209876543,0.8986419753086419,2.215185185185185,50.898148148148145,16.0,0.8610026455026456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25407407407407456,-3.947283950617284,0.16419753086419742,0.00530291005291017
Direct Mask Correction mc=1,Direct,reliable-feedback main method,Mask-Corrected Coverage-Aware B=3 mc=1,0.1,9,900,3,49.9995061728395,99.95061728395062,3.40679012345679,5.263827160493827,0.7344444444444445,5.998271604938272,50.73395061728395,16.0,0.8556997354497354,1.5461273760533019,0.20212757201646092,1.343999804036841,0.6484494904957868,-0.25407407407407456,3.947283950617284,-0.16419753086419742,-0.00530291005291017,0.0,0.0,0.0,0.0
Clipped Mask Correction mc=1 clip=2,Clip2,high-noise robustness variant,Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.1,9,900,3,49.9995061728395,99.95061728395062,3.402962962962963,3.275185185185185,0.5992592592592593,3.8744444444444444,50.598765432098766,16.0,0.8177734175974917,0.9015912698412697,0.15345434058397023,0.7481369292572997,0.6454878502841466,-0.2579012345679015,1.958641975308642,-0.2993827160493826,-0.04322922790515393,-0.00382716049382692,-1.9886419753086422,-0.13518518518518519,-0.03792631785224376
