decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,adaptive_sparse_v2_preview_cost,adaptive_sparse_v2_uncertainty_weight,adaptive_sparse_v2_urgency_weight,adaptive_sparse_v2_history_weight,adaptive_sparse_history_window,adaptive_sparse_v3_neighbor_radius,adaptive_sparse_v3_neighbor_count,adaptive_sparse_v3_history_count,learned_shortlist_extra_count,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,adaptive_sparse_effective_margin_threshold_mean,adaptive_sparse_expand_score_mean,adaptive_sparse_history_stability_mean,adaptive_sparse_urgency_mean,adaptive_sparse_cost_penalty_mean,adaptive_sparse_v3_history_prior_rate,adaptive_sparse_v3_neighbor_extra_preview_mean,adaptive_sparse_v3_selected_extra_preview_mean,learned_shortlist_selected_extra_preview_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.785,0.2842,0.36225237308245106,16.68521086831578,0.09135502034655658,51.83,1.83,1.425,51.425,30.314285714285717,4.0,1.2330575396825398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31924568495052
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.335,0.12739999999999987,0.36530839691753686,16.225519085261837,0.06318625962705794,50.535,0.535,1.845,51.845,12.25952380952381,12.0,0.8517976190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.40681431626221
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.25,0.019599999999999583,0.35965666085673953,16.178217059965768,0.15432835746542656,50.53,0.53,1.73,51.73,12.722222222222221,16.0,0.7040277777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42858475887547
0.0,0.0,temporal_ar1,0.7,1,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,0,50.0,0.0,1.0,100.0,3.255,0.04899999999999982,0.34899303636730883,16.129889463535093,0.12305548084803676,50.5,0.5,1.915,51.915,12.599999999999998,15.353666666666667,0.7575277777777777,0.0,0.8384166666666667,0.020565555555555556,0.045842037037037035,0.017276481481481483,0.5078981481481482,0.0,0.008000000000000002,0.0,0.0,0.0,0.0,99.45730787927656
0.0,0.0,temporal_ar1,0.7,1,4,Learned Sparse Shortlist Feedback Grid B=4 bm=2 ex=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,2,50.0,0.0,1.0,100.0,3.345,0.009800000000000225,0.36347756646843776,16.171010944350343,0.18594816255491034,50.57,0.57,1.935,51.935,13.66111111111111,14.0,0.8100555555555556,0.0,0.0,0.019977222222222223,0.0,0.0,0.4881898148148149,0.0,0.0,0.0,0.0,0.0,2.0,99.40029260306173
0.0,0.0,temporal_ar1,0.7,1,4,Learned Set Shortlist Feedback Grid B=4 bm=2 maxex=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,50.0,0.0,1.0,100.0,3.28,0.09800000000000007,0.36466945623213404,16.175337192696745,0.12431159151215958,50.505,0.505,1.805,51.805,11.765476190476189,12.956738095238094,0.8080119047619047,0.0,0.0,0.02058119047619048,0.0,0.0,0.4882420634920635,0.0,0.0,0.0,0.0,0.0,0.9567380952380953,99.41691539262
0.0,0.0,temporal_ar1,0.7,1,4,Learned Set Shortlist Feedback Grid B=4 bm=2 maxex=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,2,50.0,0.0,1.0,100.0,3.37,0.1176000000000001,0.35873225050888324,16.151309880639687,0.023723506550203194,50.555,0.555,1.88,51.88,13.0375,13.810374999999999,0.8062083333333334,0.0,0.0,0.02036166666666667,0.0,0.0,0.48485416666666664,0.0,0.0,0.0,0.0,0.0,1.8103750000000003,99.41774877067172
0.0,0.0,temporal_ar1,0.7,1,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.3,0.019600000000000017,0.3546998983410974,16.21568923683554,0.10544104701619403,50.5,0.5,1.855,51.855,10.883333333333333,20.0,0.6484166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44509525081062
0.0,0.0,temporal_ar1,0.7,1,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,2.97,0.019600000000000017,0.35701463082852186,16.22499751372254,0.11140466584332458,50.345,0.345,1.175,51.175,9.341666666666667,4.0,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.47711546882009
0.0,0.0,temporal_ar1,0.7,2,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,4.105,0.00980000000000066,0.37279212168062065,16.849966795217707,0.20380219965474608,52.04,2.04,1.725,51.725,31.220238095238095,4.0,1.2553154761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.24701308855342
0.0,0.0,temporal_ar1,0.7,2,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.72,0.05880000000000005,0.3922431212868615,16.395031215070645,0.13476075851333233,50.575,0.575,2.365,52.365,12.352380952380951,12.0,0.8877738095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.30492962976813
0.0,0.0,temporal_ar1,0.7,2,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.5,0.15680000000000013,0.38076003771464656,16.321460790791118,0.27084620435321144,50.5,0.5,2.06,52.06,11.75952380952381,16.0,0.7187301587301588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36015972246773
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,0,50.0,0.0,1.0,100.0,3.53,0.1372000000000001,0.3755580405734662,16.309046532125077,0.2297705545677094,50.51,0.51,2.305,52.305,11.859523809523807,15.37795238095238,0.7854801587301589,0.0,0.8444880952380953,0.021052698412698412,0.0502240376984127,0.021171339285714286,0.498954365079365,6.25e-06,0.008000000000000002,0.0,0.0,0.0,0.0,99.37766363612621
0.0,0.0,temporal_ar1,0.7,2,4,Learned Sparse Shortlist Feedback Grid B=4 bm=2 ex=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,2,50.0,0.0,1.0,100.0,3.705,0.10779999999999985,0.3816877727804197,16.305404955916153,0.1705588294657641,50.59,0.59,2.435,52.435,13.16488095238095,14.0,0.8495773809523809,0.0,0.0,0.020053928571428573,0.0,0.0,0.476796626984127,0.0,0.0,0.0,0.0,0.0,2.0,99.33104199957083
0.0,0.0,temporal_ar1,0.7,2,4,Learned Set Shortlist Feedback Grid B=4 bm=2 maxex=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,50.0,0.0,1.0,100.0,3.67,0.07840000000000007,0.38654925238505194,16.35156380075035,0.0233835234967826,50.54,0.54,2.325,52.325,11.760714285714284,12.933499999999999,0.8434761904761905,0.0,0.0,0.020752380952380953,0.0,0.0,0.477375,0.0,0.0,0.0,0.0,0.0,0.9335,99.33321991776566
0.0,0.0,temporal_ar1,0.7,2,4,Learned Set Shortlist Feedback Grid B=4 bm=2 maxex=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,2,50.0,0.0,1.0,100.0,3.655,0.009800000000000225,0.40068394941301605,16.428068895646607,0.09385663349662209,50.58,0.58,2.34,52.34,12.75595238095238,13.797654761904761,0.8499523809523809,0.0,0.0,0.020589523809523808,0.0,0.0,0.47541468253968255,0.0,0.0,0.0,0.0,0.0,1.797654761904762,99.30394189855089
0.0,0.0,temporal_ar1,0.7,2,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,49.995,0.00979999999999805,0.9998999999999999,99.5,3.64,0.05880000000000005,0.3769869738437697,16.357313954710307,0.039358882217889996,50.5,0.505,2.35,52.345,10.813690476190475,20.0,0.6960714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36459113918794
0.0,0.0,temporal_ar1,0.7,2,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.14,0.0,0.38159337951581696,16.344465608289514,0.038717270486568436,50.33,0.33,1.445,51.445,8.758333333333333,4.0,0.48949999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4155083102826
0.0,0.0,temporal_ar1,0.7,3,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,4.14,0.17640000000000058,0.38947144873288164,16.947445906165463,0.18014866632522955,52.005,2.005,1.82,51.82,30.99345238095238,4.0,1.2565178571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.20462957491918
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,4.03,0.07840000000000007,0.4068571506288414,16.473496317647605,0.1042170773894746,50.61,0.61,2.64,52.64,12.091071428571428,12.0,0.8855099206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.25688668802734
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,50.0,0.0,1.0,100.0,3.67,0.1372000000000001,0.40119266199786935,16.403508512679533,0.154829984361776,50.49,0.49,2.22,52.22,11.160714285714285,16.0,0.7193214285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31354210645391
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,0,50.0,0.0,1.0,100.0,3.67,0.15680000000000013,0.4001827481979323,16.425564702329133,0.12632181167191234,50.525,0.525,2.43,52.43,11.869047619047619,15.38547619047619,0.7788214285714283,0.0,0.8463690476190476,0.021331190476190476,0.0532431994047619,0.023912008928571423,0.4951309523809524,1.1636904761904762e-05,0.008000000000000002,0.0,0.0,0.0,0.0,99.31988443060027
0.0,0.0,temporal_ar1,0.7,3,4,Learned Sparse Shortlist Feedback Grid B=4 bm=2 ex=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,2,50.0,0.0,1.0,100.0,3.825,0.029399999999999808,0.3981248036995948,16.38575492513745,0.15232499404656563,50.605,0.605,2.605,52.605,13.25297619047619,14.0,0.8605634920634921,0.0,0.0,0.020393531746031746,0.0,0.0,0.47213789682539686,0.0,0.0,0.0,0.0,0.0,2.0,99.29574136733915
0.0,0.0,temporal_ar1,0.7,3,4,Learned Set Shortlist Feedback Grid B=4 bm=2 maxex=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,1,50.0,0.0,1.0,100.0,3.805,0.08820000000000029,0.40817587130615185,16.457730867146754,0.008427599632434094,50.54,0.54,2.47,52.47,11.63611111111111,12.947257936507935,0.8492698412698414,0.0,0.0,0.021121587301587297,0.0,0.0,0.4768591269841269,0.0,0.0,0.0,0.0,0.0,0.9472579365079367,99.28341974718889
